Page Path,Monthly Avg Clicks,Bucket,Total Clicks (16mo),Impressions,Avg Position,CTR,Trend,Top Keyword,KW Position,KW Volume,KW Traffic (Ahrefs),Recommendation,Notes
/local-seo-training,31,≤40/mo,496,115694,38.5,0.43%,UP,local seo course,18,1100,4,KEEP & IMPROVE,
/seo-report,21.7,≤30/mo,347,1895129,45.7,0.02%,UP,seo report template,11,6000,179,KEEP & IMPROVE,
/templates-and-sops,19.7,≤20/mo,315,44671,17.6,0.71%,UP,,,,,KEEP & IMPROVE,
/blueprint-affiliate-program,16.1,≤20/mo,257,15145,13.2,1.7%,UP,affiliate marketing blueprint,4,40,3,KEEP & IMPROVE,
/niches-for-your-agency,12.9,≤20/mo,207,98442,14.9,0.21%,FLAT,how to niche my agency,5,10,1,KEEP & IMPROVE,
/local-seo,12.4,≤20/mo,199,313868,35,0.06%,UP,map pack seo,8,1500,67,KEEP & IMPROVE,
/seo-proposal,12.4,≤20/mo,198,182474,28.3,0.11%,DOWN,seo proposal template,9,1100,47,KEEP & IMPROVE,
/terms-and-conditions,9.9,≤10/mo,158,5976,8.7,2.64%,N/A,,,,,KEEP & IMPROVE,
/seo-content-training,8.3,≤10/mo,133,88403,32.1,0.15%,UP,seo blueprint,9,900,42,KEEP & IMPROVE,
/link-building-strategy,7.5,≤10/mo,120,65434,36.5,0.18%,STABLE,backlink strategy template,1,100,34,KEEP & IMPROVE,
/seo-deliverables,7.5,≤10/mo,120,48776,32.3,0.25%,UP,seo deliverables,4,150,12,KEEP & IMPROVE,
/client-questionnaire-template,6.8,≤10/mo,109,128504,43.6,0.08%,FLAT,seo client questionnaire,12,250,4,KEEP & IMPROVE,
/seo-proposal-template,5.9,≤10/mo,94,85974,27.1,0.11%,N/A,,,,,KEEP & IMPROVE,
/make-money-seo,4.9,≤10/mo,78,73878,27.8,0.11%,N/A,seo earning,18,800,3,KEEP & IMPROVE,
/project-management-seo,4.4,≤10/mo,70,105241,35,0.07%,N/A,project management for seo agencies,3,150,18,KEEP & IMPROVE,"High impressions, low CTR - optimize title/meta"
/ai-seo-process,4.1,≤10/mo,65,23020,50.9,0.28%,N/A,,,,,KEEP & IMPROVE,
/agency-website-template,3.9,≤10/mo,63,17087,28.7,0.37%,N/A,,,,,KEEP & UPDATE,
/how-to-productize-services,3.8,≤10/mo,60,15584,22.3,0.39%,N/A,,,,,KEEP & UPDATE,
/link-building-for-dentists,3.1,≤10/mo,50,12967,25.2,0.39%,N/A,link building for dentists,6,60,4,KEEP & UPDATE,
/content-marketing-for-agencies,3.1,≤10/mo,49,35771,42.6,0.14%,N/A,content marketing for agencies,4,100,12,KEEP & IMPROVE,
/keyword-research,2.9,≤10/mo,47,107846,48.2,0.04%,N/A,keyword research presentation,11,80,1,KEEP & UPDATE,"High impressions, low CTR - optimize title/meta"
/seo-templates-every-agency-needs,2.9,≤10/mo,46,85197,57.4,0.05%,N/A,,,,,KEEP & UPDATE,
/carrie-rose-rise-at-seven,2.8,≤10/mo,45,24305,15.2,0.19%,N/A,rise at seven,12,200,3,KEEP & UPDATE,
/agency-pricing-models,2.7,≤10/mo,43,109411,31.4,0.04%,N/A,agency pricing models,10,300,7,KEEP & UPDATE,"High impressions, low CTR - optimize title/meta"
/build-authority-links-for-clients,2.6,≤10/mo,41,59248,58.2,0.07%,N/A,link building training,19,200,1,KEEP & UPDATE,
/joy-hawkins,2.4,≤10/mo,38,13006,11.9,0.29%,N/A,,,,,KEEP & IMPROVE,Good position but low clicks - check SERP features
/seo-agency-project-management,2.3,≤10/mo,37,30107,38,0.12%,N/A,seo agency project management software,14,500,5,KEEP & UPDATE,
/seo-process,2.3,≤10/mo,37,22016,13.3,0.17%,N/A,,,,,KEEP & IMPROVE,Good position but low clicks - check SERP features
/seo-competitive-analysis,2.2,≤10/mo,36,659181,53.1,0.01%,N/A,,,,,KEEP & UPDATE,"High impressions, low CTR - optimize title/meta"
/bigger-agency-clients,2.2,≤10/mo,36,22459,41.6,0.16%,N/A,,,,,KEEP & UPDATE,
/agency-positioning,2.2,≤10/mo,35,50198,38,0.07%,N/A,,,,,KEEP & UPDATE,
/nobs-links,1.8,≤10/mo,29,14354,20.7,0.2%,NEGLIGIBLE,no bs links,2,50,8,301 REDIRECT,
/generate-leads-meta-ads,1.8,≤10/mo,28,11315,11.9,0.25%,NEGLIGIBLE,,,,,KEEP & IMPROVE,Good position but low clicks - check SERP features
/kyle-roof,1.5,≤10/mo,24,2593,19.4,0.93%,NEGLIGIBLE,,,,,301 REDIRECT,
/seo-roi,1.4,≤10/mo,22,34018,32.1,0.06%,NEGLIGIBLE,seo roi forecast,26,700,0,KEEP & UPDATE,
/darren-shaw-local-seo,1.4,≤10/mo,22,2792,18.7,0.79%,NEGLIGIBLE,,,,,301 REDIRECT,
/content-brief-template,1.1,≤10/mo,18,58888,53.9,0.03%,NEGLIGIBLE,agency briefing template,18,100,0,301 REDIRECT,
/mark-luckenbaugh,1.1,≤10/mo,18,1814,34.7,0.99%,NEGLIGIBLE,,,,,301 REDIRECT,
/agency-tax-planning,1.1,≤10/mo,17,8607,25.4,0.2%,NEGLIGIBLE,,,,,301 REDIRECT,
/web-design-agency-seo,0.8,≤10/mo,13,1324,36.4,0.98%,NEGLIGIBLE,,,,,301 REDIRECT,
/best-seo-tool-stack,0.8,≤10/mo,12,62352,57.6,0.02%,NEGLIGIBLE,deepcrawl vs ahrefs,19,700,3,KEEP & REWRITE,
/moz-vs-semrush-vs-ahrefs,0.7,≤10/mo,11,2079594,29.8,0%,VOLATILE,is ahrefs more accurate than moz,19,3700,12,KEEP & REWRITE,"High impressions, low CTR - optimize title/meta"
